disease_id,name,type,description,symptoms,causes,treatments,related_bacteria,related_virus
31,Zika,Genetic,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Pseudomonas aeruginosa,Dengue
32,Hypertension,Viral,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Pseudomonas aeruginosa,Norovirus
33,Cholera,Parasitic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Proteus mirabilis,HIV
34,Cholera,Bacterial,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Listeria monocytogenes,HPV
35,Rabies,Metabolic,A deadly viral infection that is transmitted to humans through the bite of infected animals.,"Fever, headache, excess salivation, muscle spasms, paralysis, mental confusion","Bite or scratch from an infected animal, usually a dog or bat.","Post-exposure prophylaxis (PEP), rabies immunoglobulin, supportive care",Pseudomonas aeruginosa,Ebola
36,Pneumonia,Parasitic,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Cough with phlegm, fever, chills, difficulty breathing","Infection of the lungs by bacteria, viruses, or fungi, often following a cold or flu.","Antibiotics (if bacterial), antiviral or antifungal medications, supportive care",Pseudomonas aeruginosa,Cytomegalovirus
37,Diabetes Mellitus,Genetic,A group of metabolic diseases characterized by high blood sugar levels over a prolonged period.,"Increased thirst, frequent urination, hunger, fatigue, blurred vision","Insufficient insulin production or insulin resistance, influenced by genetics, lifestyle, and obesity.","Insulin therapy, oral hypoglycemic agents, diet, exercise",Corynebacterium diphtheriae,Mumps
38,Measles,Parasitic,"A highly contagious viral disease causing fever, cough, and a characteristic rash.","Fever, cough, runny nose, inflamed eyes, red rash","Infection with measles virus, spread by respiratory droplets.","Supportive care, vitamin A supplementation",Staphylococcus aureus,Marburg
39,Hepatitis B,Bacterial,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Pseudomonas aeruginosa,Ebola
40,COVID-19,Genetic,"A contagious respiratory illness caused by the SARS-CoV-2 virus, leading to symptoms ranging from mild cold-like illness to severe pneumonia.","Fever, cough, shortness of breath, fatigue, loss of taste or smell","Infection with the SARS-CoV-2 coronavirus, primarily spread via respiratory droplets.","Supportive care, oxygen therapy, antiviral medications (e.g., remdesivir)",Treponema pallidum,Norovirus
41,Dengue,Viral,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Yersinia pestis,Herpes simplex
42,Rabies,Genetic,A deadly viral infection that is transmitted to humans through the bite of infected animals.,"Fever, headache, excess salivation, muscle spasms, paralysis, mental confusion","Bite or scratch from an infected animal, usually a dog or bat.","Post-exposure prophylaxis (PEP), rabies immunoglobulin, supportive care",Treponema pallidum,Norovirus
43,Polio,Bacterial,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Clostridium tetani,Norovirus
44,Meningitis,Genetic,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Salmonella enterica,Zika
45,Polio,Parasitic,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Proteus mirabilis,Ebola
46,Influenza,Viral,A disease affecting humans. Further research may be required for specific details about Influenza.,"north, simply, soon","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Pseudomonas aeruginosa,Zika
47,Tuberculosis,Genetic,"A potentially serious infectious disease that mainly affects the lungs, caused by Mycobacterium tuberculosis.","Cough (sometimes blood-tinged), weight loss, night sweats, fever","Infection by Mycobacterium tuberculosis, transmitted via airborne droplets from coughs or sneezes.","Antibiotic therapy (isoniazid, rifampin, ethambutol, pyrazinamide)",Yersinia pestis,Marburg
48,Tuberculosis,Metabolic,"A potentially serious infectious disease that mainly affects the lungs, caused by Mycobacterium tuberculosis.","Cough (sometimes blood-tinged), weight loss, night sweats, fever","Infection by Mycobacterium tuberculosis, transmitted via airborne droplets from coughs or sneezes.","Antibiotic therapy (isoniazid, rifampin, ethambutol, pyrazinamide)",Treponema pallidum,Influenza
49,Diabetes Mellitus,Viral,A group of metabolic diseases characterized by high blood sugar levels over a prolonged period.,"Increased thirst, frequent urination, hunger, fatigue, blurred vision","Insufficient insulin production or insulin resistance, influenced by genetics, lifestyle, and obesity.","Insulin therapy, oral hypoglycemic agents, diet, exercise",Enterococcus faecalis,Mumps
50,Measles,Metabolic,"A highly contagious viral disease causing fever, cough, and a characteristic rash.","Fever, cough, runny nose, inflamed eyes, red rash","Infection with measles virus, spread by respiratory droplets.","Supportive care, vitamin A supplementation",Clostridium tetani,Dengue
51,Measles,Parasitic,"A highly contagious viral disease causing fever, cough, and a characteristic rash.","Fever, cough, runny nose, inflamed eyes, red rash","Infection with measles virus, spread by respiratory droplets.","Supportive care, vitamin A supplementation",Staphylococcus aureus,Herpes simplex
52,Hepatitis B,Viral,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Treponema pallidum,SARS-CoV-2
53,Asthma,Parasitic,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Neisseria meningitidis,Mumps
54,Zika,Genetic,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Treponema pallidum,Influenza
55,Dengue,Metabolic,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Borrelia burgdorferi,Measles
56,Meningitis,Bacterial,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Shigella dysenteriae,Cytomegalovirus
57,Meningitis,Metabolic,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Salmonella enterica,Influenza
58,Tuberculosis,Genetic,"A potentially serious infectious disease that mainly affects the lungs, caused by Mycobacterium tuberculosis.","Cough (sometimes blood-tinged), weight loss, night sweats, fever","Infection by Mycobacterium tuberculosis, transmitted via airborne droplets from coughs or sneezes.","Antibiotic therapy (isoniazid, rifampin, ethambutol, pyrazinamide)",Staphylococcus aureus,Rabies
59,Malaria,Genetic,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Escherichia coli,Rotavirus
60,Rabies,Bacterial,A deadly viral infection that is transmitted to humans through the bite of infected animals.,"Fever, headache, excess salivation, muscle spasms, paralysis, mental confusion","Bite or scratch from an infected animal, usually a dog or bat.","Post-exposure prophylaxis (PEP), rabies immunoglobulin, supportive care",Bacillus anthracis,Rubella
61,Cholera,Parasitic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Shigella dysenteriae,Herpes simplex
62,COVID-19,Metabolic,"A contagious respiratory illness caused by the SARS-CoV-2 virus, leading to symptoms ranging from mild cold-like illness to severe pneumonia.","Fever, cough, shortness of breath, fatigue, loss of taste or smell","Infection with the SARS-CoV-2 coronavirus, primarily spread via respiratory droplets.","Supportive care, oxygen therapy, antiviral medications (e.g., remdesivir)",Corynebacterium diphtheriae,Hepatitis B
63,Meningitis,Genetic,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Vibrio cholerae,Zika
64,Leprosy,Bacterial,"A chronic infectious disease caused by Mycobacterium leprae, affecting the skin, nerves, and mucous membranes.","Skin lesions, numbness, muscle weakness, eye problems","Chronic infection with Mycobacterium leprae, spread via respiratory droplets.","Multidrug therapy (dapsone, rifampicin, clofazimine)",Treponema pallidum,Rotavirus
65,Diabetes Mellitus,Viral,A group of metabolic diseases characterized by high blood sugar levels over a prolonged period.,"Increased thirst, frequent urination, hunger, fatigue, blurred vision","Insufficient insulin production or insulin resistance, influenced by genetics, lifestyle, and obesity.","Insulin therapy, oral hypoglycemic agents, diet, exercise",Corynebacterium diphtheriae,Rabies
66,Asthma,Metabolic,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Klebsiella pneumoniae,Norovirus
67,Malaria,Genetic,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Corynebacterium diphtheriae,Cytomegalovirus
68,Diabetes Mellitus,Bacterial,A group of metabolic diseases characterized by high blood sugar levels over a prolonged period.,"Increased thirst, frequent urination, hunger, fatigue, blurred vision","Insufficient insulin production or insulin resistance, influenced by genetics, lifestyle, and obesity.","Insulin therapy, oral hypoglycemic agents, diet, exercise",Streptococcus pneumoniae,Herpes simplex
69,Pneumonia,Genetic,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Cough with phlegm, fever, chills, difficulty breathing","Infection of the lungs by bacteria, viruses, or fungi, often following a cold or flu.","Antibiotics (if bacterial), antiviral or antifungal medications, supportive care",Salmonella enterica,Epstein-Barr
70,Leprosy,Viral,"A chronic infectious disease caused by Mycobacterium leprae, affecting the skin, nerves, and mucous membranes.","Skin lesions, numbness, muscle weakness, eye problems","Chronic infection with Mycobacterium leprae, spread via respiratory droplets.","Multidrug therapy (dapsone, rifampicin, clofazimine)",Neisseria meningitidis,Cytomegalovirus
71,Cholera,Genetic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Staphylococcus aureus,Varicella-zoster
72,Ebola,Parasitic,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Enterococcus faecalis,Rotavirus
73,Malaria,Genetic,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Streptococcus pneumoniae,Polio
74,Ebola,Genetic,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Staphylococcus aureus,HIV
75,Polio,Metabolic,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Klebsiella pneumoniae,Cytomegalovirus
76,Meningitis,Viral,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Borrelia burgdorferi,Cytomegalovirus
77,Dengue,Bacterial,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Enterococcus faecalis,Mumps
78,Chickenpox,Bacterial,"A highly contagious viral infection causing an itchy, blister-like rash.","Itchy, blister-like rash, fever, tiredness, loss of appetite","Infection with varicella-zoster virus, spread by respiratory droplets or contact with lesions.","Antihistamines, calamine lotion, antiviral drugs (acyclovir) in severe cases",Klebsiella pneumoniae,Zika
79,HIV/AIDS,Metabolic,A virus that attacks the immune system and can lead to acquired immunodeficiency syndrome (AIDS).,"Fever, fatigue, swollen lymph nodes, weight loss, recurrent infections","Infection with the human immunodeficiency virus (HIV), spread through blood, sexual contact, or from mother to child.",Antiretroviral therapy (ART),Corynebacterium diphtheriae,SARS-CoV-2
80,Ebola,Bacterial,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Proteus mirabilis,Influenza
81,Chickenpox,Metabolic,"A highly contagious viral infection causing an itchy, blister-like rash.","Itchy, blister-like rash, fever, tiredness, loss of appetite","Infection with varicella-zoster virus, spread by respiratory droplets or contact with lesions.","Antihistamines, calamine lotion, antiviral drugs (acyclovir) in severe cases",Klebsiella pneumoniae,Mumps
82,Leprosy,Viral,"A chronic infectious disease caused by Mycobacterium leprae, affecting the skin, nerves, and mucous membranes.","Skin lesions, numbness, muscle weakness, eye problems","Chronic infection with Mycobacterium leprae, spread via respiratory droplets.","Multidrug therapy (dapsone, rifampicin, clofazimine)",Streptococcus pneumoniae,Epstein-Barr
83,Influenza,Bacterial,A disease affecting humans. Further research may be required for specific details about Influenza.,"because, anyone, industry, participant","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Corynebacterium diphtheriae,Norovirus
84,Asthma,Parasitic,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Corynebacterium diphtheriae,Influenza
85,Meningitis,Parasitic,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Mycobacterium tuberculosis,Ebola
86,Pneumonia,Genetic,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Cough with phlegm, fever, chills, difficulty breathing","Infection of the lungs by bacteria, viruses, or fungi, often following a cold or flu.","Antibiotics (if bacterial), antiviral or antifungal medications, supportive care",Vibrio cholerae,Varicella-zoster
87,COVID-19,Genetic,"A contagious respiratory illness caused by the SARS-CoV-2 virus, leading to symptoms ranging from mild cold-like illness to severe pneumonia.","Fever, cough, shortness of breath, fatigue, loss of taste or smell","Infection with the SARS-CoV-2 coronavirus, primarily spread via respiratory droplets.","Supportive care, oxygen therapy, antiviral medications (e.g., remdesivir)",Salmonella enterica,Rabies
88,Tuberculosis,Viral,"A potentially serious infectious disease that mainly affects the lungs, caused by Mycobacterium tuberculosis.","Cough (sometimes blood-tinged), weight loss, night sweats, fever","Infection by Mycobacterium tuberculosis, transmitted via airborne droplets from coughs or sneezes.","Antibiotic therapy (isoniazid, rifampin, ethambutol, pyrazinamide)",Corynebacterium diphtheriae,Polio
89,Dengue,Viral,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Klebsiella pneumoniae,Herpes simplex
90,Tuberculosis,Parasitic,"A potentially serious infectious disease that mainly affects the lungs, caused by Mycobacterium tuberculosis.","Cough (sometimes blood-tinged), weight loss, night sweats, fever","Infection by Mycobacterium tuberculosis, transmitted via airborne droplets from coughs or sneezes.","Antibiotic therapy (isoniazid, rifampin, ethambutol, pyrazinamide)",Escherichia coli,SARS-CoV-2
91,Dengue,Bacterial,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Yersinia pestis,Rabies
